image,date,time,lat,lon,alt,pitch,roll,azimuth,GPS_speed
DSC00003.JPG,2020/04/30,"04:47:07,00",61.521366000,30.339928000,18.300,0.500,0.000,140.000,0.000
DSC00004.JPG,2020/04/30,"04:47:07,00",61.521366000,30.339928000,18.300,0.500,0.000,140.000,0.000
DSC00005.JPG,2020/04/30,"04:47:09,00",61.521366000,30.339930000,18.400,0.600,-0.400,140.000,0.000
DSC00006.JPG,2020/04/30,"04:47:10,00",61.521366000,30.339931000,18.600,0.600,-0.500,140.000,0.000
DSC00007.JPG,2020/04/30,"05:00:10,00",61.503338000,30.437277000,295.600,0.700,1.800,97.000,81.360
DSC00008.JPG,2020/04/30,"05:00:11,00",61.503239000,30.437824000,296.000,0.600,1.800,102.000,82.080
DSC00009.JPG,2020/04/30,"05:00:12,00",61.503143000,30.438366000,296.200,-0.200,0.300,100.000,82.080
DSC00010.JPG,2020/04/30,"05:00:13,00",61.503056000,30.438856000,295.800,-2.200,1.000,100.000,79.920
DSC00011.JPG,2020/04/30,"05:00:15,00",61.502953000,30.439390000,295.600,1.400,0.800,99.000,80.280
DSC00012.JPG,2020/04/30,"05:00:16,00",61.502850000,30.439970000,295.500,0.500,1.300,100.000,78.840
DSC00013.JPG,2020/04/30,"05:00:17,00",61.502750000,30.440500000,295.000,1.100,1.000,103.000,78.120
DSC00014.JPG,2020/04/30,"05:00:18,00",61.502655000,30.440985000,294.800,-0.900,2.000,102.000,75.600
DSC00015.JPG,2020/04/30,"05:00:19,00",61.502556000,30.441532000,295.600,-1.500,2.800,104.000,79.560
DSC00016.JPG,2020/04/30,"05:00:21,00",61.502472000,30.442028000,297.200,1.600,0.000,103.000,80.280
DSC00017.JPG,2020/04/30,"05:00:22,00",61.502380000,30.442587000,297.500,1.700,0.900,101.000,78.120
DSC00018.JPG,2020/04/30,"05:00:23,00",61.502285000,30.443151000,296.400,1.100,0.000,103.000,86.040
DSC00019.JPG,2020/04/30,"05:00:24,00",61.502193000,30.443665000,295.300,0.400,0.300,99.000,84.600
