filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1440x2560v_2400_637x1253.1440x2560v_2400_637x1253.jpg,89669,{},2,0,"{""name"":""rect"",""x"":34,""y"":259,""width"":313,""height"":156}","{""bear"":""bear""}"
1440x2560v_2400_637x1253.1440x2560v_2400_637x1253.jpg,89669,{},2,1,"{""name"":""rect"",""x"":456,""y"":293,""width"":161,""height"":123}","{""bear"":""bear""}"
1440x2560v_2420_785x1282.1440x2560v_2420_785x1282.jpg,94824,{},2,0,"{""name"":""rect"",""x"":344,""y"":260,""width"":90,""height"":125}","{""bear"":""bear""}"
1440x2560v_2420_785x1282.1440x2560v_2420_785x1282.jpg,94824,{},2,1,"{""name"":""rect"",""x"":0,""y"":224,""width"":188,""height"":164}","{""bear"":""bear""}"
1440x2560v_2440_619x1280.1440x2560v_2440_619x1280.jpg,95079,{},2,0,"{""name"":""rect"",""x"":100,""y"":223,""width"":293,""height"":155}","{""bear"":""bear""}"
1440x2560v_2440_619x1280.1440x2560v_2440_619x1280.jpg,95079,{},2,1,"{""name"":""rect"",""x"":514,""y"":261,""width"":126,""height"":122}","{""bear"":""bear""}"
1440x2560v_2460_810x1285.1440x2560v_2460_810x1285.jpg,98341,{},2,0,"{""name"":""rect"",""x"":0,""y"":213,""width"":200,""height"":156}","{""bear"":""bear""}"
1440x2560v_2460_810x1285.1440x2560v_2460_810x1285.jpg,98341,{},2,1,"{""name"":""rect"",""x"":388,""y"":256,""width"":104,""height"":124}","{""bear"":""bear""}"
1440x2560v_2480_535x1274.1440x2560v_2480_535x1274.jpg,73297,{},1,0,"{""name"":""rect"",""x"":210,""y"":215,""width"":270,""height"":164}","{""bear"":""bear""}"
1440x2560v_2500_672x1175.1440x2560v_2500_672x1175.jpg,87712,{},2,0,"{""name"":""rect"",""x"":110,""y"":295,""width"":269,""height"":162}","{""bear"":""bear""}"
1440x2560v_2500_672x1175.1440x2560v_2500_672x1175.jpg,87712,{},2,1,"{""name"":""rect"",""x"":418,""y"":342,""width"":209,""height"":134}","{""bear"":""bear""}"
1440x2560v_2500_721x1102.1440x2560v_2500_721x1102.jpg,82884,{},2,0,"{""name"":""rect"",""x"":61,""y"":369,""width"":269,""height"":159}","{""bear"":""bear""}"
1440x2560v_2500_721x1102.1440x2560v_2500_721x1102.jpg,82884,{},2,1,"{""name"":""rect"",""x"":371,""y"":418,""width"":205,""height"":133}","{""bear"":""bear""}"
1440x2560v_2500_788x1089.1440x2560v_2500_788x1089.jpg,81636,{},2,0,"{""name"":""rect"",""x"":3,""y"":382,""width"":261,""height"":162}","{""bear"":""bear""}"
1440x2560v_2500_788x1089.1440x2560v_2500_788x1089.jpg,81636,{},2,1,"{""name"":""rect"",""x"":303,""y"":428,""width"":206,""height"":133}","{""bear"":""bear""}"
1440x2560v_2500_802x1306.1440x2560v_2500_802x1306.jpg,101668,{},2,0,"{""name"":""rect"",""x"":1,""y"":164,""width"":249,""height"":158}","{""bear"":""bear""}"
1440x2560v_2500_802x1306.1440x2560v_2500_802x1306.jpg,101668,{},2,1,"{""name"":""rect"",""x"":290,""y"":213,""width"":206,""height"":131}","{""bear"":""bear""}"
1440x2560v_2520_713x1328.1440x2560v_2520_713x1328.jpg,101107,{},2,0,"{""name"":""rect"",""x"":107,""y"":157,""width"":303,""height"":159}","{""bear"":""bear""}"
1440x2560v_2520_713x1328.1440x2560v_2520_713x1328.jpg,101107,{},2,1,"{""name"":""rect"",""x"":383,""y"":209,""width"":220,""height"":130}","{""bear"":""bear""}"
1440x2560v_2540_554x1121.1440x2560v_2540_554x1121.jpg,66897,{},1,0,"{""name"":""rect"",""x"":307,""y"":354,""width"":271,""height"":163}","{""bear"":""bear""}"
1440x2560v_2540_726x1099.1440x2560v_2540_726x1099.jpg,66487,{},2,0,"{""name"":""rect"",""x"":136,""y"":373,""width"":269,""height"":165}","{""bear"":""bear""}"
1440x2560v_2540_726x1099.1440x2560v_2540_726x1099.jpg,66487,{},2,1,"{""name"":""rect"",""x"":358,""y"":426,""width"":209,""height"":139}","{""bear"":""bear""}"
